Champion Total Carry Support Jungle
Taric 51 2 47 2
Urgot 53 52 1 0
Quinn 64 59 3 2
Sejuani 68 1 1 66
Swain 70 68 2 0
Galio 77 69 8 0
Warwick 99 2 3 94
Miss Fortune 102 100 2 0
Nasus 106 103 2 1
Dr. Mundo 113 97 3 13
Ziggs 114 112 2 0
Teemo 130 110 16 4
Yorick 142 139 1 2
Aatrox 145 123 2 20
Sona 145 10 135 0
Volibear 158 50 19 89
Shaco 160 9 6 145
Singed 169 164 5 0
Poppy 171 57 50 64
Amumu 176 0 8 168
Veigar 180 147 31 2
Akali 183 177 4 2
Zyra 185 44 141 0
Malzahar 187 171 9 7
Rammus 188 41 12 135
Cho'Gath 195 180 3 12
Katarina 212 205 7 0
Karma 219 78 140 1
Zilean 237 93 144 0
Lux 238 224 14 0
Trundle 238 98 102 38
Heimerdinger 248 225 18 5
Nocturne 248 15 0 233
Xin Zhao 253 14 4 235
Sion 257 150 33 74
Udyr 267 7 4 256
Fiddlesticks 274 3 30 241
Kayle 285 79 11 195
Jayce 289 284 3 2
Syndra 299 292 7 0
Master Yi 301 74 4 223
Brand 312 129 177 6
Jax 320 244 7 69
Vel'Koz 337 218 119 0
Cassiopeia 343 337 5 1
Talon 348 334 11 3
Tryndamere 366 338 4 24
Anivia 370 360 10 0
Pantheon 383 76 37 270
Zac 383 27 6 350
Wukong 404 236 4 164
Twitch 407 376 15 16
Kennen 432 270 162 0
Varus 437 428 9 0
Kassadin 459 449 10 0
Xerath 470 459 11 0
Ryze 483 465 18 0
Vi 487 5 2 480
Nunu 493 23 88 382
Jarvan IV 504 147 18 339
Renekton 509 499 5 5
Karthus 513 459 19 35
Nami 534 0 534 0
Lissandra 543 534 6 3
Shyvana 572 41 2 529
Tahm Kench 599 85 456 58
Leona 622 0 622 0
Kha'Zix 671 40 5 626
Caitlyn 672 667 5 0
Draven 716 701 13 2
Rumble 795 765 30 0
Kog'Maw 807 791 15 1
Maokai 812 650 64 98
Garen 887 827 36 24
Skarner 890 4 7 879
Olaf 893 614 16 263
Mordekaiser 904 845 54 5
Annie 916 406 509 1
Vladimir 923 907 15 1
Malphite 951 798 85 68
Ezreal 986 968 12 6
Ashe 1013 993 17 3
Darius 1022 964 25 33
Zed 1033 1019 8 6
Orianna 1035 1021 13 1
Nautilus 1058 117 891 50
Morgana 1098 242 855 1
Gnar 1108 1078 26 4
Bard 1117 1 1116 0
Hecarim 1177 914 11 252
LeBlanc 1294 1243 51 0
Rengar 1316 311 37 968
Graves 1393 1378 14 1
Evelynn 1417 8 10 1399
Fiora 1437 1401 24 12
Gangplank 1499 1480 18 1
Sivir 1604 1590 14 0
Viktor 1616 1600 14 2
Soraka 1619 0 1619 0
Diana 1636 1241 4 391
Irelia 1677 1629 24 24
Jinx 1686 1656 17 13
Shen 1805 1508 282 15
Corki 1844 1823 20 1
Gragas 1902 51 55 1796
Elise 1922 25 29 1868
Fizz 1954 1622 51 281
Twisted Fate 1980 1937 34 9
Nidalee 2058 110 7 1941
Azir 2114 2088 20 6
Alistar 2144 3 2136 5
Blitzcrank 2151 2 2148 1
Ekko 2180 824 25 1331
Lulu 2347 1855 488 4
Lucian 2364 2337 26 1
Tristana 2404 2371 30 3
Braum 2449 2 2446 1
Ahri 2481 2442 39 0
Rek'Sai 2551 107 12 2432
Kalista 2558 2526 29 3
Yasuo 2603 2543 32 28
Riven 2625 2428 43 154
Janna 3027 6 3021 0
Lee Sin 3899 148 73 3678
Vayne 4741 4644 73 24
Thresh 5123 1 5121 1
